	label	name	rawTweet	tweet_id	postTweet	keyN
0	0	paulandrosa1	RT @JGaffneyUSN: If only we were warned.  3 Wives No Dog 1 Impeachment Countless Affairs &amp; Abortions $1Billion in Debt 6 Bankruptcies 3,500…	1334742326099537926	1billion 500 abortions affairs amp bankruptcies countless debt dog impeachment rt warned wives	13
1	0	bohoshay	RT @NoahShachtman: NEW: Mike Pence is slinking away from his boss’ election ‘fraud’ train wreck.  “The vice president doesn’t want to go do…	1334742318079938561	boss do doesn election fraud mike new pence president rt slinking the train vice wreck	15
2	2	freddyatton	RT @RBReich: Latest count: Biden wins by more than 7 million votes.  Biden 81,267,708  Trump 74,213,015   Biden's margin of victory is the…	1334742432781533185	015 213 267 708 74 81 biden biden biden count latest margin million rt the trump victory votes wins	19
3	2	RosaMit62280174	RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…	1334742448686456832	court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin	13
4	2	Magaji_1	RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…	1334741983600971776	court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin	13
5	0	SuMoh7	RT @jacobsoboroff: Trump admin *just* turned over key data which could help locate some of the 628 unreachable parents who were separated f…	1334742870239158278	628 admin data just key locate parents rt separated trump turned unreachable	12
6	0	toymom303	RT @AriBerman: It’s truly insane that Trump lost by 7 million votes nationwide, lost Electoral College 306-232, lost PA/WI/MI by 3x as much…	1334742867915509761	232 306 3x college electoral insane it lost lost lost mi million much nationwide pa rt trump votes wi	19
7	0	frankmueller101	RT @MattNegrin: WASHINGTON (AP) — America’s ruling party condemns democratic process for 26th straight day after opposition leader won pres…	1334743213417099264	26th america ap condemns day democratic leader opposition party pres process rt ruling straight washington won	16
8	2	jln4416	RT @funder: BREAKING: President-elect Biden will ask the nation to wear masks for his first 100 days in office. This is true leadership. Th…	1334746784397053952	100 biden breaking days elect leadership masks nation office president rt th true wear	14
9	2	deejay90192	RT @abc7newsbayarea: The San Jose teen who painted portraits of President-elect Joe Biden and VP-elect Kamala Harris has another reason to…	1334746772409823232	biden elect elect harris joe jose kamala painted portraits president reason rt san teen to vp	16
10	2	Teram323Tere	RT @kaitlancollins: Biden says he doesn’t personally care if Trump comes to his inauguration, but he should to showcase a peaceful transfer…	1334746759269007365	biden care doesn inauguration peaceful personally rt showcase transfer trump	10
11	1	srauer20	RT @ConcedingTrump: Patriots! We need 2,000 quick replies commenting #PerdueSaysBidenWon so we can it trending and shame David Perdue for s…	1334748698002251776	000 commenting david patriots perdue perduesaysbidenwon quick replies rt shame trending	11
12	0	Rosenchild	RT @Rosenchild: @bopinion 🎁 Marry Christmas and Happy #COVID19  💸 $900 BILLION Stimulus 🚫 NO Stimulus Checks in the NEW Stimulus Bill  Sinc…	1334751363448905728	900 bill billion checks christmas covid19 happy marry rt sinc stimulus stimulus stimulus	13
13	0	deejay90192	"RT @maddow: DC Attorney General:   ""Our investigation revealed the [Trump Inaugural] Committee willfully used nonprofit funds to enrich the…"	1334751362240958466	attorney committee dc enrich funds general inaugural investigation nonprofit our revealed rt the trump willfully	15
